Stomatepia pindu	YP_009590629
Sarotherodon lohbergeri	YP_009590616
Konia dikume	YP_009590603
Myaka myaka	YP_009590590
Pungu maclareni	YP_009590577
Sarotherodon linnellii	YP_009590564
Piranga leucoptera	YP_009590281
Piranga rubriceps	YP_009590268
Piranga erythrocephala	YP_009590255
Piranga bidentata	YP_009590242
Piranga ludoviciana	YP_009590229
Piranga olivacea	YP_009590216
Piranga hepatica	YP_009590203
Piranga flava	YP_009590190
Piranga lutea	YP_009590177
Piranga rubra	YP_009590164
Piranga roseogularis	YP_009590151
Magicicada tredecula	YP_009590124
Magicicada septendecula	YP_009590111
Magicicada tredecassini	YP_009590098
Magicicada cassini	YP_009590085
Magicicada tredecim	YP_009590072
Magicicada neotredecim	YP_009590059
Magicicada septendecim	YP_009590046
Jaydia lineata	YP_009589859
Ectophylla alba	YP_009589350
Myotis frater	YP_009589337
Rallus aquaticus	YP_009584264
Gallirallus striatus	YP_009584251
Hydrophasianus chirurgus	YP_009584238
Polyplacotoma mediterranea	YP_009582142
Nassarius jacksonianus	YP_009582126
Nassarius javanus	YP_009582113
Nassarius foveolatus	YP_009582100
Nassarius sinarus	YP_009582087
Crotalus adamanteus	YP_009580404
Meloidogyne oryzae	YP_009578114
Elephantulus edwardii	YP_009577684
Styracaster yapensis	YP_009574714
Pseudobagrus pratti	YP_009574338
Hippocampus camelopardalis	YP_009573266
Pseudis tocantins	YP_009573135
Macromia daimoji	YP_009573121
Podagricomela nigricollis	YP_009573022
Otus sunia	YP_009573010
Tragulus napu	YP_009424374
Nassarius pullus	YP_009572213
Nassarius conoidalis	YP_009572199
Johnius borneensis	YP_009572111
Umbonium thomasi	YP_009572099
Kogia sima	YP_009571924
Emydura macquarii	YP_009571911
Chelodina steindachneri	YP_009571144
Chelodina colliei	YP_009571131
Elseya schultzei	YP_009571118
Elseya novaeguineae	YP_009571105
Elseya dentata	YP_009571092
Elseya albagula	YP_009571079
Chelodina canni	YP_009571066
Chelodina burrungandjii	YP_009571053
Chelodina novaeguineae	YP_009571040
Elseya lavarackorum	YP_009571027
Elseya irwini	YP_009571014
Psittacara leucophthalmus	YP_009568992
Hydrobates castro	YP_009568593
Microtus agrestis	YP_009568580
Helix pomatia	YP_009568403
Gasterosteus aculeatus	YP_009568252
Sitona obsoletus	YP_009567872
Chiromantes dehaani	YP_009567680
Neoeriocheir leptognathus	YP_009567672
Cryptopone sauteri	YP_009566971
Artamus cinereus	YP_009566694
Chromodoris orientalis	YP_009566679
Paratrypauchen microcephalus	YP_009566668
Halichoeres nigrescens	YP_009566655
Acentrogobius caninus	YP_009566642
Abudefduf bengalensis	YP_009566629
Encyrtus infelix	YP_009565384
Henosepilachna vigintioctopunctata	YP_009564766
Chaetocnema pelagica	YP_009564668
Macrohaltica subplicata	YP_009564655
Hoplasoma unicolor	YP_009564642
Gavia arctica	YP_009564462
Glossaulax reiniana	YP_009564280
Nyctalus plancyi	YP_009564175
Alpheus inopinatus	YP_009563985
Isopachys gyldenstolpei	YP_009563805
Blarinella wardi	YP_009563708
Uropsilus andersoni	YP_009563695
Eristalis tenax	YP_009563681
Pomacea diffusa	YP_009563667
Trochalopteron milnei	YP_009563656
Sphenomorphus incognitus	YP_009562362
Dendrocopos canicapillus	YP_009562248
Charadrius alexandrinus	YP_009562136
Stenocatantops splendens	YP_009562017
Traulia nigritibialis	YP_009562004
Cardellina canadensis	YP_009561895
Anthus richardi	YP_009561795
Pentacheles validus	YP_009561707
